#
#
# US Geological Survey, Water Resources Data
# retrieved: 2016-08-08 22:19:35 -04:00	(natwebsdas01)
#
# This file contains USGS Monthly Statistics
#
# Note:The statistics generated are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://help.waterdata.usgs.gov/faq/about-statistics.
#
# Data heading explanations.
# agency_cd       -- agency code
# site_no         -- Site identification number
# parameter_cd    -- Parameter code
# station_nm      -- Site name
# loc_web_ds      -- Additional measurement description
#
# Data for the following 1 site(s) are contained in this file
# agency_cd   site_no      parameter_cd   station_nm (loc_web_ds)
# USGS        10011500     00060          BEAR RIVER NEAR UTAH-WYOMING STATE LINE
#
# Explanation of Parameter Codes
# parameter_cd	Parameter Name
# 00060         Discharge, cubic feet per second
#
# Data heading explanations.
# year_nu     ... Calendar year for value.
# month_nu    ... Month for value.
# mean_va     ... Mean of daily mean values for this month.
# count_nu    ... Number of values used in the calculation.
#
agency_cd	site_no	parameter_cd	ts_id	loc_web_ds	year_nu	month_nu	mean_va
5s	15s	5s	10n	15s	4s	2s	12n
USGS	10011500	00060	143377		1979	3	28.4
USGS	10011500	00060	143377		1979	4	61.0
USGS	10011500	00060	143377		1979	5	490.2
USGS	10011500	00060	143377		1979	6	559.4
USGS	10011500	00060	143377		1979	7	175.0
USGS	10011500	00060	143377		1979	8	78.8
USGS	10011500	00060	143377		1979	9	36.3
USGS	10011500	00060	143377		1979	10	34.7
USGS	10011500	00060	143377		1979	11	32.8
USGS	10011500	00060	143377		1979	12	28.1
USGS	10011500	00060	143377		1980	1	31.3
USGS	10011500	00060	143377		1980	2	29.5
USGS	10011500	00060	143377		1980	3	30.7
USGS	10011500	00060	143377		1980	4	92.4
USGS	10011500	00060	143377		1980	5	487.7
USGS	10011500	00060	143377		1980	6	913.1
USGS	10011500	00060	143377		1980	7	318.7
USGS	10011500	00060	143377		1980	8	74.5
USGS	10011500	00060	143377		1980	9	85.7
USGS	10011500	00060	143377		1980	10	50.5
USGS	10011500	00060	143377		1980	11	53.2
USGS	10011500	00060	143377		1980	12	44.5
USGS	10011500	00060	143377		1981	1	37.7
USGS	10011500	00060	143377		1981	2	34.3
USGS	10011500	00060	143377		1981	3	35.0
USGS	10011500	00060	143377		1981	4	157.9
USGS	10011500	00060	143377		1981	5	482.7
USGS	10011500	00060	143377		1981	6	845.1
USGS	10011500	00060	143377		1981	7	179.9
USGS	10011500	00060	143377		1981	8	90.7
USGS	10011500	00060	143377		1981	9	67.0
USGS	10011500	00060	143377		1981	10	66.9
USGS	10011500	00060	143377		1981	11	52.4
USGS	10011500	00060	143377		1981	12	42.0
USGS	10011500	00060	143377		1982	1	39.6
USGS	10011500	00060	143377		1982	2	40.0
USGS	10011500	00060	143377		1982	3	38.6
USGS	10011500	00060	143377		1982	4	71.0
USGS	10011500	00060	143377		1982	5	705.5
USGS	10011500	00060	143377		1982	6	1071
USGS	10011500	00060	143377		1982	7	562.8
USGS	10011500	00060	143377		1982	8	149.2
USGS	10011500	00060	143377		1982	9	216.1
USGS	10011500	00060	143377		1982	10	207.7
USGS	10011500	00060	143377		1982	11	101.6
USGS	10011500	00060	143377		1982	12	70.2
USGS	10011500	00060	143377		1983	1	51.9
USGS	10011500	00060	143377		1983	2	59.3
USGS	10011500	00060	143377		1983	3	67.3
USGS	10011500	00060	143377		1983	4	78.3
USGS	10011500	00060	143377		1983	5	428.0
USGS	10011500	00060	143377		1983	6	1546
USGS	10011500	00060	143377		1983	7	698.8
USGS	10011500	00060	143377		1983	8	207.0
USGS	10011500	00060	143377		1983	9	228.7
USGS	10011500	00060	143377		1983	10	166.3
USGS	10011500	00060	143377		1983	11	106.1
USGS	10011500	00060	143377		1983	12	94.9
USGS	10011500	00060	143377		1984	1	72.4
USGS	10011500	00060	143377		1984	2	64.3
USGS	10011500	00060	143377		1984	3	66.0
USGS	10011500	00060	143377		1984	4	85.9
USGS	10011500	00060	143377		1984	5	1044
USGS	10011500	00060	143377		1984	6	1133
USGS	10011500	00060	143377		1984	7	489.5
USGS	10011500	00060	143377		1984	8	181.6
USGS	10011500	00060	143377		1984	9	182.7
USGS	10011500	00060	143377		1984	10	143.5
USGS	10011500	00060	143377		1984	11	96.0
USGS	10011500	00060	143377		1984	12	80.8
USGS	10011500	00060	143377		1985	1	60.2
USGS	10011500	00060	143377		1985	2	58.0
USGS	10011500	00060	143377		1985	3	47.4
USGS	10011500	00060	143377		1985	4	258.0
USGS	10011500	00060	143377		1985	5	839.9
USGS	10011500	00060	143377		1985	6	735.3
USGS	10011500	00060	143377		1985	7	205.5
USGS	10011500	00060	143377		1985	8	98.6
USGS	10011500	00060	143377		1985	9	92.1
USGS	10011500	00060	143377		1985	10	78.3
USGS	10011500	00060	143377		1985	11	67.7
USGS	10011500	00060	143377		1985	12	57.2
USGS	10011500	00060	143377		1986	1	46.8
USGS	10011500	00060	143377		1986	2	42.7
USGS	10011500	00060	143377		1986	3	69.0
USGS	10011500	00060	143377		1986	4	156.9
USGS	10011500	00060	143377		1986	5	785.5
USGS	10011500	00060	143377		1986	6	1990
USGS	10011500	00060	143377		1986	7	463.3
USGS	10011500	00060	143377		1986	8	133.4
USGS	10011500	00060	143377		1986	9	129.0
USGS	10011500	00060	143377		1986	10	93.8
USGS	10011500	00060	143377		1986	11	82.8
USGS	10011500	00060	143377		1986	12	64.5
USGS	10011500	00060	143377		1987	1	60.9
USGS	10011500	00060	143377		1987	2	56.4
USGS	10011500	00060	143377		1987	3	58.7
USGS	10011500	00060	143377		1987	4	197.2
USGS	10011500	00060	143377		1987	5	666.4
USGS	10011500	00060	143377		1987	6	448.4
USGS	10011500	00060	143377		1987	7	170.5
USGS	10011500	00060	143377		1987	8	110.2
USGS	10011500	00060	143377		1987	9	81.0
USGS	10011500	00060	143377		1987	10	56.4
USGS	10011500	00060	143377		1987	11	54.7
USGS	10011500	00060	143377		1987	12	48.5
USGS	10011500	00060	143377		1988	1	46.4
USGS	10011500	00060	143377		1988	2	45.4
USGS	10011500	00060	143377		1988	3	48.6
USGS	10011500	00060	143377		1988	4	133.8
USGS	10011500	00060	143377		1988	5	539.9
USGS	10011500	00060	143377		1988	6	395.3
USGS	10011500	00060	143377		1988	7	104.8
USGS	10011500	00060	143377		1988	8	52.7
USGS	10011500	00060	143377		1988	9	45.8
USGS	10011500	00060	143377		1988	10	44.3
USGS	10011500	00060	143377		1988	11	47.8
USGS	10011500	00060	143377		1988	12	48.3
USGS	10011500	00060	143377		1989	1	45.5
USGS	10011500	00060	143377		1989	2	41.3
USGS	10011500	00060	143377		1989	3	68.1
USGS	10011500	00060	143377		1989	4	210.1
USGS	10011500	00060	143377		1989	5	551.4
USGS	10011500	00060	143377		1989	6	514.8
USGS	10011500	00060	143377		1989	7	189.7
USGS	10011500	00060	143377		1989	8	97.5
USGS	10011500	00060	143377		1989	9	62.4
USGS	10011500	00060	143377		1989	10	46.8
USGS	10011500	00060	143377		1989	11	42.4
USGS	10011500	00060	143377		1989	12	40.3
USGS	10011500	00060	143377		1990	1	40.4
USGS	10011500	00060	143377		1990	2	44.1
USGS	10011500	00060	143377		1990	3	47.2
USGS	10011500	00060	143377		1990	4	173.7
USGS	10011500	00060	143377		1990	5	342.0
USGS	10011500	00060	143377		1990	6	709.6
USGS	10011500	00060	143377		1990	7	197.0
USGS	10011500	00060	143377		1990	8	66.3
USGS	10011500	00060	143377		1990	9	50.2
USGS	10011500	00060	143377		1990	10	47.8
USGS	10011500	00060	143377		1990	11	45.1
USGS	10011500	00060	143377		1990	12	34.8
USGS	10011500	00060	143377		1991	1	29.6
USGS	10011500	00060	143377		1991	2	29.1
USGS	10011500	00060	143377		1991	3	29.0
USGS	10011500	00060	143377		1991	4	54.2
USGS	10011500	00060	143377		1991	5	444.5
USGS	10011500	00060	143377		1991	6	994.7
USGS	10011500	00060	143377		1991	7	178.8
USGS	10011500	00060	143377		1991	8	94.9
USGS	10011500	00060	143377		1991	9	90.1
USGS	10011500	00060	143377		1991	10	55.1
USGS	10011500	00060	143377		1991	11	64.5
USGS	10011500	00060	143377		1991	12	50.6
USGS	10011500	00060	143377		1992	1	41.3
USGS	10011500	00060	143377		1992	2	34.5
USGS	10011500	00060	143377		1992	3	38.1
USGS	10011500	00060	143377		1992	4	149.5
USGS	10011500	00060	143377		1992	5	521.5
USGS	10011500	00060	143377		1992	6	204.2
USGS	10011500	00060	143377		1992	7	102.5
USGS	10011500	00060	143377		1992	8	59.9
USGS	10011500	00060	143377		1992	9	44.3
USGS	10011500	00060	143377		1992	10	37.9
USGS	10011500	00060	143377		1992	11	45.9
USGS	10011500	00060	143377		1992	12	40.5
USGS	10011500	00060	143377		1993	1	30.0
USGS	10011500	00060	143377		1993	2	25.5
USGS	10011500	00060	143377		1993	3	38.4
USGS	10011500	00060	143377		1993	4	72.0
USGS	10011500	00060	143377		1993	5	899.9
USGS	10011500	00060	143377		1993	6	989.2
USGS	10011500	00060	143377		1993	7	382.9
USGS	10011500	00060	143377		1993	8	137.8
USGS	10011500	00060	143377		1993	9	85.1
USGS	10011500	00060	143377		1993	10	68.3
USGS	10011500	00060	143377		1993	11	52.7
USGS	10011500	00060	143377		1993	12	42.0
USGS	10011500	00060	143377		1994	1	45.5
USGS	10011500	00060	143377		1994	2	37.5
USGS	10011500	00060	143377		1994	3	39.6
USGS	10011500	00060	143377		1994	4	131.6
USGS	10011500	00060	143377		1994	5	602.9
USGS	10011500	00060	143377		1994	6	354.2
USGS	10011500	00060	143377		1994	7	114.7
USGS	10011500	00060	143377		1994	8	58.8
USGS	10011500	00060	143377		1994	9	47.0
USGS	10011500	00060	143377		1994	10	75.3
USGS	10011500	00060	143377		1994	11	59.2
USGS	10011500	00060	143377		1994	12	56.7
USGS	10011500	00060	143377		1995	1	55.9
USGS	10011500	00060	143377		1995	2	42.2
USGS	10011500	00060	143377		1995	3	53.5
USGS	10011500	00060	143377		1995	4	75.1
USGS	10011500	00060	143377		1995	5	342.1
USGS	10011500	00060	143377		1995	6	1446
USGS	10011500	00060	143377		1995	7	1105
USGS	10011500	00060	143377		1995	8	184.0
USGS	10011500	00060	143377		1995	9	103.7
USGS	10011500	00060	143377		1995	10	63.7
USGS	10011500	00060	143377		1995	11	57.3
USGS	10011500	00060	143377		1995	12	48.1
USGS	10011500	00060	143377		1996	1	42.0
USGS	10011500	00060	143377		1996	2	42.3
USGS	10011500	00060	143377		1996	3	60.7
USGS	10011500	00060	143377		1996	4	95.1
USGS	10011500	00060	143377		1996	5	734.8
USGS	10011500	00060	143377		1996	6	1080
USGS	10011500	00060	143377		1996	7	208.9
USGS	10011500	00060	143377		1996	8	76.2
USGS	10011500	00060	143377		1996	9	89.0
USGS	10011500	00060	143377		1996	10	54.7
USGS	10011500	00060	143377		1996	11	57.0
USGS	10011500	00060	143377		1996	12	50.1
USGS	10011500	00060	143377		1997	1	46.8
USGS	10011500	00060	143377		1997	2	44.8
USGS	10011500	00060	143377		1997	3	53.7
USGS	10011500	00060	143377		1997	4	107.5
USGS	10011500	00060	143377		1997	5	908.1
USGS	10011500	00060	143377		1997	6	1178
USGS	10011500	00060	143377		1997	7	230.8
USGS	10011500	00060	143377		1997	8	105.2
USGS	10011500	00060	143377		1997	9	132.7
USGS	10011500	00060	143377		1997	10	109.4
USGS	10011500	00060	143377		1997	11	79.5
USGS	10011500	00060	143377		1997	12	57.9
USGS	10011500	00060	143377		1998	1	41.4
USGS	10011500	00060	143377		1998	2	39.7
USGS	10011500	00060	143377		1998	3	51.4
USGS	10011500	00060	143377		1998	4	101.3
USGS	10011500	00060	143377		1998	5	524.6
USGS	10011500	00060	143377		1998	6	917.5
USGS	10011500	00060	143377		1998	7	711.4
USGS	10011500	00060	143377		1998	8	169.8
USGS	10011500	00060	143377		1998	9	116.4
USGS	10011500	00060	143377		1998	10	86.6
USGS	10011500	00060	143377		1998	11	71.5
USGS	10011500	00060	143377		1998	12	46.2
USGS	10011500	00060	143377		1999	1	54.2
USGS	10011500	00060	143377		1999	2	42.4
USGS	10011500	00060	143377		1999	3	57.7
USGS	10011500	00060	143377		1999	4	86.4
USGS	10011500	00060	143377		1999	5	568.0
USGS	10011500	00060	143377		1999	6	1226
USGS	10011500	00060	143377		1999	7	345.9
USGS	10011500	00060	143377		1999	8	117.0
USGS	10011500	00060	143377		1999	9	95.1
USGS	10011500	00060	143377		1999	10	66.1
USGS	10011500	00060	143377		1999	11	52.5
USGS	10011500	00060	143377		1999	12	49.6
USGS	10011500	00060	143377		2000	1	48.0
USGS	10011500	00060	143377		2000	2	43.5
USGS	10011500	00060	143377		2000	3	47.4
USGS	10011500	00060	143377		2000	4	135.7
USGS	10011500	00060	143377		2000	5	614.1
USGS	10011500	00060	143377		2000	6	309.3
USGS	10011500	00060	143377		2000	7	132.0
USGS	10011500	00060	143377		2000	8	58.7
USGS	10011500	00060	143377		2000	9	67.5
USGS	10011500	00060	143377		2000	10	55.7
USGS	10011500	00060	143377		2000	11	48.9
USGS	10011500	00060	143377		2000	12	41.4
USGS	10011500	00060	143377		2001	1	33.8
USGS	10011500	00060	143377		2001	2	37.1
USGS	10011500	00060	143377		2001	3	40.2
USGS	10011500	00060	143377		2001	4	102.2
USGS	10011500	00060	143377		2001	5	650.0
USGS	10011500	00060	143377		2001	6	249.3
USGS	10011500	00060	143377		2001	7	111.0
USGS	10011500	00060	143377		2001	8	51.4
USGS	10011500	00060	143377		2001	9	39.0
USGS	10011500	00060	143377		2001	10	42.5
USGS	10011500	00060	143377		2001	11	42.5
USGS	10011500	00060	143377		2001	12	39.2
USGS	10011500	00060	143377		2002	1	31.4
USGS	10011500	00060	143377		2002	2	26.4
USGS	10011500	00060	143377		2002	3	30.5
USGS	10011500	00060	143377		2002	4	102.0
USGS	10011500	00060	143377		2002	5	426.4
USGS	10011500	00060	143377		2002	6	298.5
USGS	10011500	00060	143377		2002	7	98.0
USGS	10011500	00060	143377		2002	8	31.0
USGS	10011500	00060	143377		2002	9	66.9
USGS	10011500	00060	143377		2002	10	74.3
USGS	10011500	00060	143377		2002	11	54.4
USGS	10011500	00060	143377		2002	12	31.8
USGS	10011500	00060	143377		2003	1	30.1
USGS	10011500	00060	143377		2003	2	21.1
USGS	10011500	00060	143377		2003	3	28.8
USGS	10011500	00060	143377		2003	4	126.7
USGS	10011500	00060	143377		2003	5	606.3
USGS	10011500	00060	143377		2003	6	482.0
USGS	10011500	00060	143377		2003	7	153.5
USGS	10011500	00060	143377		2003	8	69.5
USGS	10011500	00060	143377		2003	9	60.5
USGS	10011500	00060	143377		2003	10	43.4
USGS	10011500	00060	143377		2003	11	39.8
USGS	10011500	00060	143377		2003	12	41.7
USGS	10011500	00060	143377		2004	1	43.9
USGS	10011500	00060	143377		2004	2	37.8
USGS	10011500	00060	143377		2004	3	61.2
USGS	10011500	00060	143377		2004	4	143.3
USGS	10011500	00060	143377		2004	5	399.9
USGS	10011500	00060	143377		2004	6	349.7
USGS	10011500	00060	143377		2004	7	182.7
USGS	10011500	00060	143377		2004	8	82.4
USGS	10011500	00060	143377		2004	9	52.9
USGS	10011500	00060	143377		2004	10	59.6
USGS	10011500	00060	143377		2004	11	57.6
USGS	10011500	00060	143377		2004	12	42.9
USGS	10011500	00060	143377		2005	1	43.2
USGS	10011500	00060	143377		2005	2	43.1
USGS	10011500	00060	143377		2005	3	42.0
USGS	10011500	00060	143377		2005	4	121.7
USGS	10011500	00060	143377		2005	5	809.8
USGS	10011500	00060	143377		2005	6	957.4
USGS	10011500	00060	143377		2005	7	372.5
USGS	10011500	00060	143377		2005	8	105.1
USGS	10011500	00060	143377		2005	9	79.6
USGS	10011500	00060	143377		2005	10	41.4
USGS	10011500	00060	143377		2005	11	40.1
USGS	10011500	00060	143377		2005	12	42.0
USGS	10011500	00060	143377		2006	1	42.2
USGS	10011500	00060	143377		2006	2	42.8
USGS	10011500	00060	143377		2006	3	38.6
USGS	10011500	00060	143377		2006	4	132.8
USGS	10011500	00060	143377		2006	5	843.0
USGS	10011500	00060	143377		2006	6	683.5
USGS	10011500	00060	143377		2006	7	170.3
USGS	10011500	00060	143377		2006	8	93.1
USGS	10011500	00060	143377		2006	9	83.0
USGS	10011500	00060	143377		2006	10	150.2
USGS	10011500	00060	143377		2006	11	75.7
USGS	10011500	00060	143377		2006	12	32.5
USGS	10011500	00060	143377		2007	1	28.9
USGS	10011500	00060	143377		2007	2	32.2
USGS	10011500	00060	143377		2007	3	56.1
USGS	10011500	00060	143377		2007	4	168.9
USGS	10011500	00060	143377		2007	5	673.7
USGS	10011500	00060	143377		2007	6	275.9
USGS	10011500	00060	143377		2007	7	117.6
USGS	10011500	00060	143377		2007	8	51.0
USGS	10011500	00060	143377		2007	9	64.2
USGS	10011500	00060	143377		2007	10	99.1
USGS	10011500	00060	143377		2007	11	62.4
USGS	10011500	00060	143377		2007	12	46.0
USGS	10011500	00060	143377		2008	1	40.9
USGS	10011500	00060	143377		2008	2	44.8
USGS	10011500	00060	143377		2008	3	40.9
USGS	10011500	00060	143377		2008	4	52.4
USGS	10011500	00060	143377		2008	5	593.9
USGS	10011500	00060	143377		2008	6	1004
USGS	10011500	00060	143377		2008	7	245.6
USGS	10011500	00060	143377		2008	8	75.6
USGS	10011500	00060	143377		2008	9	74.0
USGS	10011500	00060	143377		2008	10	48.2
USGS	10011500	00060	143377		2008	11	47.8
USGS	10011500	00060	143377		2008	12	35.5
USGS	10011500	00060	143377		2009	1	35.0
USGS	10011500	00060	143377		2009	2	40.0
USGS	10011500	00060	143377		2009	3	37.2
USGS	10011500	00060	143377		2009	4	127.5
USGS	10011500	00060	143377		2009	5	899.6
USGS	10011500	00060	143377		2009	6	792.6
USGS	10011500	00060	143377		2009	7	272.0
USGS	10011500	00060	143377		2009	8	81.9
USGS	10011500	00060	143377		2009	9	94.7
USGS	10011500	00060	143377		2009	10	68.2
USGS	10011500	00060	143377		2009	11	44.6
USGS	10011500	00060	143377		2009	12	27.9
USGS	10011500	00060	143377		2010	1	32.9
USGS	10011500	00060	143377		2010	2	29.4
USGS	10011500	00060	143377		2010	3	27.1
USGS	10011500	00060	143377		2010	4	86.1
USGS	10011500	00060	143377		2010	5	297.6
USGS	10011500	00060	143377		2010	6	1075
USGS	10011500	00060	143377		2010	7	231.7
USGS	10011500	00060	143377		2010	8	118.1
USGS	10011500	00060	143377		2010	9	75.4
USGS	10011500	00060	143377		2010	10	65.9
USGS	10011500	00060	143377		2010	11	69.4
USGS	10011500	00060	143377		2010	12	55.2
USGS	10011500	00060	143377		2011	1	49.5
USGS	10011500	00060	143377		2011	2	43.4
USGS	10011500	00060	143377		2011	3	43.4
USGS	10011500	00060	143377		2011	4	87.5
USGS	10011500	00060	143377		2011	5	473.4
USGS	10011500	00060	143377		2011	6	1818
USGS	10011500	00060	143377		2011	7	1371
USGS	10011500	00060	143377		2011	8	186.3
USGS	10011500	00060	143377		2011	9	119.2
USGS	10011500	00060	143377		2011	10	92.5
USGS	10011500	00060	143377		2011	11	73.3
USGS	10011500	00060	143377		2011	12	48.3
USGS	10011500	00060	143377		2012	1	53.9
USGS	10011500	00060	143377		2012	2	47.5
USGS	10011500	00060	143377		2012	3	61.7
USGS	10011500	00060	143377		2012	4	210.1
USGS	10011500	00060	143377		2012	5	472.1
USGS	10011500	00060	143377		2012	6	210.9
USGS	10011500	00060	143377		2012	7	113.4
USGS	10011500	00060	143377		2012	8	56.3
USGS	10011500	00060	143377		2012	9	56.0
USGS	10011500	00060	143377		2012	10	46.9
USGS	10011500	00060	143377		2012	11	41.2
USGS	10011500	00060	143377		2012	12	35.7
USGS	10011500	00060	143377		2013	1	34.4
USGS	10011500	00060	143377		2013	2	35.2
USGS	10011500	00060	143377		2013	3	37.3
USGS	10011500	00060	143377		2013	4	63.0
USGS	10011500	00060	143377		2013	5	580.2
USGS	10011500	00060	143377		2013	6	490.9
USGS	10011500	00060	143377		2013	7	146.1
USGS	10011500	00060	143377		2013	8	59.0
USGS	10011500	00060	143377		2013	9	99.6
USGS	10011500	00060	143377		2013	10	99.3
USGS	10011500	00060	143377		2013	11	59.7
USGS	10011500	00060	143377		2013	12	39.1
USGS	10011500	00060	143377		2014	1	38.6
USGS	10011500	00060	143377		2014	2	37.4
USGS	10011500	00060	143377		2014	3	35.5
USGS	10011500	00060	143377		2014	4	144.1
USGS	10011500	00060	143377		2014	5	731.5
USGS	10011500	00060	143377		2014	6	569.3
USGS	10011500	00060	143377		2014	7	196.1
USGS	10011500	00060	143377		2014	8	118.0
USGS	10011500	00060	143377		2014	9	147.8
USGS	10011500	00060	143377		2014	10	143.3
USGS	10011500	00060	143377		2014	11	72.2
USGS	10011500	00060	143377		2014	12	54.3
USGS	10011500	00060	143377		2015	1	46.3
USGS	10011500	00060	143377		2015	2	46.9
USGS	10011500	00060	143377		2015	3	78.0
USGS	10011500	00060	143377		2015	4	145.5
USGS	10011500	00060	143377		2015	5	385.5
USGS	10011500	00060	143377		2015	6	587.8
USGS	10011500	00060	143377		2015	7	143.8
USGS	10011500	00060	143377		2015	8	77.6
USGS	10011500	00060	143377		2015	9	70.5
